Accession,Organism_Name,Release_Date,Pangolin,PangoVersions,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
URA86236.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-02
URA86260.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-02
URA86284.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-02
URA86308.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-01
URA87435.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-05-01
URA87447.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-13
URA87459.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-15
URA87483.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-10
URA87495.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,413,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-04
URA87507.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,413,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-05-27
URB55679.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-01
URB55691.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-07-04
URB56514.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-08
URB56526.1,Severe acute respiratory syndrome coronavirus 2,2022-05-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,,2021-06-01
QWT11137.1,Severe acute respiratory syndrome coronavirus 2,2021-06-16T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,oronasopharynx,2021-03-15
QWT11149.1,Severe acute respiratory syndrome coronavirus 2,2021-06-16T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,oronasopharynx,2021-03-30
QWT11172.1,Severe acute respiratory syndrome coronavirus 2,2021-06-16T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,oronasopharynx,2021-04-27
QWT11184.1,Severe acute respiratory syndrome coronavirus 2,2021-06-16T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,oronasopharynx,2021-04-27
QVE55285.1,Severe acute respiratory syndrome coronavirus 2,2021-05-12T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil,Homo sapiens,oronasopharynx,2021-02-07
QVQ47347.1,Severe acute respiratory syndrome coronavirus 2,2021-05-21T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,"Brazil: Amazonas, Manaus",Homo sapiens,,2020-12-21
UOE99293.1,Severe acute respiratory syndrome coronavirus 2,2022-04-04T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,"Brazil: Goias, Goiania",Homo sapiens,oronasopharynx,2021-04-14
UOE99328.1,Severe acute respiratory syndrome coronavirus 2,2022-04-04T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,"Brazil: Goias, Goiania",Homo sapiens,oronasopharynx,2021-04-10
UEO57779.1,Severe acute respiratory syndrome coronavirus 2,2022-11-01T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,"Brazil: Mato Grosso do Sul, Campo Grande",Homo sapiens,oronasopharynx,2020-08-24
QXF23015.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-08
QXF23027.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-09
QXF23039.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-09
QXF23051.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-10
QXF23063.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-07
QXF23206.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-05
QXF23218.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-07
QXF23230.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-09
QXF23242.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-09
QXF23254.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-08
QXF23685.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-08
QXF23697.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-11
QXF23709.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-08
QXF23721.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-07
QXF23733.1,Severe acute respiratory syndrome coronavirus 2,2021-12-31T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-04-10
QXF22416.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-07
QXF22440.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-07
QXF22476.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-02
QXF22500.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-01
QXF22512.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-05
QXF22524.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-01
QXF22536.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-06
QXF22548.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-06
QXF22560.1,Severe acute respiratory syndrome coronavirus 2,2021-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Parana,Homo sapiens,,2021-03-06
WCZ78222.1,Severe acute respiratory syndrome coronavirus 2,2023-02-13T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Rio de Janeiro,Homo sapiens,,2020-04-29
UZW44056.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-10
UZW44092.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-06
UZW44116.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-12
UZW44625.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-12
UZW44740.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-10
UZW44856.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-13
UZW45014.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-14
UZW45318.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-06
UZW45494.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-10
UZW45973.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-11
UZW48280.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-16
UZW48328.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-16
UZW48400.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-17
UZW49311.1,Severe acute respiratory syndrome coronavirus 2,2022-11-28T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Brazil: Sao Paulo,Homo sapiens,oronasopharynx,2021-08-16
UJO71344.1,Severe acute respiratory syndrome coronavirus 2,2022-01-24T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Canada,Homo sapiens,,2021-04-20
UIC73871.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-08-08
UIC73991.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,413,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-08-06
UIC74003.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-08-08
UIC74015.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-08-07
UIC74039.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-09-21
UIC74051.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-09-21
UIC74715.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-09-28
UIC74739.1,Severe acute respiratory syndrome coronavirus 2,2022-02-11T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Chile,Homo sapiens,oronasopharynx,2021-09-29
UNJ27351.1,Severe acute respiratory syndrome coronavirus 2,2022-03-18T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Dominican Republic,Homo sapiens,oronasopharynx,2021-05-20
UNJ27396.1,Severe acute respiratory syndrome coronavirus 2,2022-03-18T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Dominican Republic,Homo sapiens,oronasopharynx,2021-05-21
UNJ27431.1,Severe acute respiratory syndrome coronavirus 2,2022-03-18T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Dominican Republic,Homo sapiens,oronasopharynx,2021-05-10
UNJ27874.1,Severe acute respiratory syndrome coronavirus 2,2022-03-18T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Dominican Republic,Homo sapiens,oronasopharynx,2021-05-21
UTS87291.1,Severe acute respiratory syndrome coronavirus 2,2022-07-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-01-27
UQC43645.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-26
UQC43657.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-26
UQC43669.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-26
UQC43681.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-26
UQC43693.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-26
UQC43717.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-28
UQC43729.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-28
UQC43741.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-28
UQC43753.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-28
UQC43765.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-31
UQC43777.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-31
UQC43813.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-08-01
UQC43825.1,Severe acute respiratory syndrome coronavirus 2,2022-05-09T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-08-01
UPE94980.1,Severe acute respiratory syndrome coronavirus 2,2022-04-20T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-02-03
UPC95992.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-07-26
UPD27368.1,Severe acute respiratory syndrome coronavirus 2,2022-04-19T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,France,Homo sapiens,,2021-06-14
UJZ32567.1,Severe acute respiratory syndrome coronavirus 2,2022-02-01T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Germany,Homo sapiens,,2021-04-16
UJZ32932.1,Severe acute respiratory syndrome coronavirus 2,2022-02-01T00:00:00Z,P.1,4.2/1.18.1.1/v0.1.10/0.3.17,419,complete,nucleocapsid phosphoprotein,Germany,Homo sapiens,,2021-05-31
